Book,Reviews,Price,Author,Rank,Estimated Sales,Monthly revenue
Yoga Business Mastery: Earn a Great Living Doing What You Love,43,9.95,Lucas Rockwood,64376,73,726.3499999999999
The Yoga Habit: A beginner's complete yoga self-practice guide.,36,6.99,June Browne,86525,55,384.45
Science of Yoga: Understand the Anatomy and Physiology to Perfect Your Practice (DK Science of),4347,15.29,Ann Swanson,7264,487,7446.23
"Yoga Fitness for Men: Build Strength, Improve Performance, and Increase Flexibility",2010,19.99,Dean Pohlman,26787,161,3218.39
The Yoga Sutras of Patanjali,4590,15.57,Sri Swami Satchidananda,3205,931,14495.67
The Heart of Yoga: Developing a Personal Practice,2080,17.95,T. K. V. Desikachar,17464,234,4200.3
